"Gebieden in Nederland 2021"
""
"","Subject"
"","Codes en namen van gemeenten|Code","Codes en namen van gemeenten|Naam","Codes en namen van gemeenten|Sortering naam","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|COROP-gebieden|Code","Lokaliseringen van gemeenten|COROP-gebieden|Naam","Lokaliseringen van gemeenten|COROP-subgebieden|Code","Lokaliseringen van gemeenten|COROP-subgebieden|Naam","Lokaliseringen van gemeenten|COROP-plusgebieden|Code","Lokaliseringen van gemeenten|COROP-plusgebieden|Naam","Lokaliseringen van gemeenten|GGD-regio's|Code","Lokaliseringen van gemeenten|GGD-regio's|Naam","Lokaliseringen van gemeenten|Jeugdregio's|Code","Lokaliseringen van gemeenten|Jeugdregio's|Naam","Lokaliseringen van gemeenten|Kamer van Koophandel|Code","Lokaliseringen van gemeenten|Kamer van Koophandel|Naam","Lokaliseringen van gemeenten|Landbouwgebieden|Code","Lokaliseringen van gemeenten|Landbouwgebieden|Naam","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Code","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Naam","Lokaliseringen van gemeenten|Landsdelen|Code","Lokaliseringen van gemeenten|Landsdelen|Naam","Lokaliseringen van gemeenten|Provincies|Code","Lokaliseringen van gemeenten|Provincies|Naam","Lokaliseringen van gemeenten|Regionale eenheden|Code","Lokaliseringen van gemeenten|Regionale eenheden|Naam","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Code","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Naam","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Code","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Naam","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|SubRES-regio’s|Code","Lokaliseringen van gemeenten|SubRES-regio’s|Naam","Lokaliseringen van gemeenten|Toeristengebieden|Code","Lokaliseringen van gemeenten|Toeristengebieden|Naam","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Code","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Naam","Lokaliseringen van gemeenten|Veiligheidsregio's|Code","Lokaliseringen van gemeenten|Veiligheidsregio's|Naam","Lokaliseringen van gemeenten|Zorgkantoorregio's|Code","Lokaliseringen van gemeenten|Zorgkantoorregio's|Naam","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Code","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Omschrijving","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving","Statistische gegevens|Inwonertal","Statistische gegevens|Omgevingsadressendichtheid"
"To lead","GM0546","Tolead","Tolead","AM19","HollandRhineland","AR07","TheHague","CR25","LeidenandBulbRegionagglomeration","CS250","LeidenandBulbRegionagglomeration","CP2500","LeidenandBulbRegionagglomeration","GG4506","MunicipalHealthServiceHollands-Midden","JZ18","HollandRhineland","KK45","Southwest","LB2804","WesternRhineland","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES21","HollandRhineland","MC26","SouthHolland-North","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2101","HollandRhineland","TR17","OtherNetherlands","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK28","SouthHollandNorth","6","100,000to150,000inhabitants","1","Verystrongurban","124093","3797"
"Leiderdorp","GM0547","Leiderdorp","Leiderdorp","AM19","HollandRhineland","AR07","TheHague","CR25","LeidenandBulbRegionagglomeration","CS250","LeidenandBulbRegionagglomeration","CP2500","LeidenandBulbRegionagglomeration","GG4506","MunicipalHealthServiceHollands-Midden","JZ18","HollandRhineland","KK45","Southwest","LB2804","WesternRhineland","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES21","HollandRhineland","MC26","SouthHolland-North","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2101","HollandRhineland","TR17","OtherNetherlands","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK28","SouthHollandNorth","4","20,000to50,000inhabitants","2","Stronglyurban","27377","2488"
"Leidschendam-Voorburg","GM1916","Leidschendam-Voorburg","Leidschendam+Voorburg","AM34","SouthHollandCentral","AR07","TheHague","CR26","AgglomerationofTheHague","CS260","AgglomerationofTheHague","CP2601","Aggl.TheHagueexcl.Zoetermeer","GG7014","MunicipalHealthServiceTheHague","JZ24","TheHagueregion","KK45","Southwest","LB2804","WesternRhineland","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES23","Rotterdam/TheHague","MC28","TheHague/Westland","RA1020","TheHagueregionandNewWaterwayNorth","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR17","OtherNetherlands","VT09","TheHagueregion","VR15","TheHagueregion","ZK10","TheHagueregion","5","50,000to100,000inhabitants","1","Verystrongurban","76433","2916"
"Lelystad","GM0995","Lelystad","Lelystad","AM11","Flevoland","AR04","CentralNetherlands","CR40","Flevoland","CS400","Flevoland","CP4002","Flevoland-Middle","GG2209","GGDFlevoland","JZ08","Flevoland","KK41","Northwest","LB2402","SouthernIJsselmeerpolders","LG06","IJsselmeerpolders","LD02","EastNetherlands","PV24","Flevoland","RE03","CentralNetherlands","ES06","Flevoland","MC18","Flevoland","RA0410","Flevoland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0601","Flevoland","TR03","IJsselmeercoast","VT03","Flevoland","VR25","Flevoland","ZK07","Flevoland","5","50,000to100,000inhabitants","3","Moderatelyurban","79811","1382"
"Leudal","GM1640","Leudal","Leudal","AM33","CentralLimburg","AR09","Limburg","CR38","CentralLimburg","CS380","CentralLimburg","CP3800","CentralLimburg","GG6011","GGDLimburg-Noord","JZ43","CentralLimburgWest","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC38","Limburg-NorthRegion","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT13","NorthandCentralLimburg","VR23","Limburg-North","ZK17","NorthandCentralLimburg","4","20,000to50,000inhabitants","5","Non-urban","36045","391"
"Leusden","GM0327","Leusden","Leusden","AM14","Amersfoort","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1702","AmersfoortMetropolitanRegion","GG2514","GGDRegionUtrecht","JZ20","Eemland","KK41","Northwest","LB2605","SandyareainUtrecht","LG05","CentralLivestockFarmingArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES13","Amersfoort","MC16","EemandValley","RA0513","Amersfoortandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1301","Amersfoort","TR07","UtrechtHillRidgeand'tGooi","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","4","20,000to50,000inhabitants","3","Moderatelyurban","30544","1266"
"Lingewaard","GM1705","Lingewaard","Lingewaard","AM07","CentralGelderland","AR03","Gelderland","CR15","Arnhem/Nijmegen","CS150","Arnhem/Nijmegen","CP1500","Arnhem/Nijmegen","GG1911","SafetyandHealthRegionGelderland-Midden","JZ28","CentralGelderland","KK43","East","LB2504","EasternBetuweandNijmegen","LG10","Riverarea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES08","Arnhem/Nijmegen","MC41","Arnhem","RA0309","CentralGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0801","Arnhem/Nijmegen","TR09","GelderlandRiverArea","VT05","Gelderland-Middle","VR07","Gelderland-Middle","ZK04","Arnhem","4","20,000to50,000inhabitants","4","Notveryurban","46822","965"
"Lisse","GM0553","Lisse","Lisse","AM19","HollandRhineland","AR07","TheHague","CR25","LeidenandBulbRegionagglomeration","CS250","LeidenandBulbRegionagglomeration","CP2500","LeidenandBulbRegionagglomeration","GG4506","MunicipalHealthServiceHollands-Midden","JZ18","HollandRhineland","KK45","Southwest","LB2808","Bulbregion","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES21","HollandRhineland","MC26","SouthHolland-North","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2101","HollandRhineland","TR17","OtherNetherlands","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK28","SouthHollandNorth","4","20,000to50,000inhabitants","2","Stronglyurban","22982","1653"
"Lochem","GM0262","Lochem","Lochem","AM06","TriangleofCitiesandNorthwestVeluwe","AR03","Gelderland","CR14","Achterhoek","CS140","Achterhoek","CP1400","Achterhoek","GG1413","GGDNorthandEastGelderland","JZ17","MiddleIJssel/EastVeluwe","KK43","East","LB2508","Achterhoek","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES12","Cleantech","MC11","TriangleofCities","RA0206","TriangleofCities&NorthVeluwe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1201","Cleantech","TR10","Achterhoek","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK03","Apeldoorn/Zutphen","4","20,000to50,000inhabitants","4","Notveryurban","33948","595"
"Loon op Zand","GM0809","LoonopZand","LoonopZand","AM26","CentralBrabant","AR11","Zeeland-West-Brabant","CR34","CentralNorthBrabant","CS340","CentralNorthBrabant","CP3400","CentralNorthBrabant","GG5406","GGDHeartforBrabant","JZ35","CentralBrabant","KK44","South","LB3008","CentralNorthBrabant","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES25","HeartofBrabant","MC35","CentralBrabant","RA1324","CentralBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2501","HeartofBrabant","TR13","WestandCentralBrabant","VT15","NorthBrabantCentral","VR20","CentralandWestBrabant","ZK12","CentralBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","23504","1073"
"Lopik","GM0331","Lopik","Lopik","AM13","CentralUtrecht","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1701","Utrecht-West","GG2514","GGDRegionUtrecht","JZ26","Leakagecurrent","KK41","Northwest","LB2602","WesternPastureAreainUtrecht","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR17","OtherNetherlands","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","3","10,000to20,000inhabitants","5","Non-urban","14456","373"
"Losser","GM0168","Losser","Losser","AM05","Twente","AR06","Overijssel","CR12","Twente","CS120","Twente","CP1200","Twente","GG1106","GGDTwente","JZ14","Twente","KK43","East","LB2303","Twente","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES04","Twente","MC12","Twente","RA0205","Twente","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0401","Twente","TR11","Twente,SallandandVechtregion","VT19","Twente","VR05","Twente","ZK22","Twente","4","20,000to50,000inhabitants","4","Notveryurban","22888","747"
"Maasdriel","GM0263","Maasdriel","Maasdriel","AM10","Riverland","AR03","Gelderland","CR16","SouthwestGelderland","CS160","SouthwestGelderland","CP1600","SouthwestGelderland","GG2014","MunicipalHealthServiceGelderland-South","JZ30","Riverland","KK43","East","LB2506","Bommelerwaard","LG10","Riverarea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES11","FruitDeltaRivierenland","MC15","Riverland","RA0308","South-WestGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1101","FruitDeltaRivierenland","TR09","GelderlandRiverArea","VT06","Gelderland-South","VR08","Gelderland-South","ZK19","NortheastBrabant","4","20,000to50,000inhabitants","5","Non-urban","25452","481"
"Maasgouw","GM1641","Maasgouw","Maasgouw","AM33","CentralLimburg","AR09","Limburg","CR38","CentralLimburg","CS380","CentralLimburg","CP3800","CentralLimburg","GG6011","GGDLimburg-Noord","JZ42","CentralLimburgEast","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC38","Limburg-NorthRegion","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT13","NorthandCentralLimburg","VR23","Limburg-North","ZK17","NorthandCentralLimburg","4","20,000to50,000inhabitants","5","Non-urban","23947","442"
"Maassluis","GM0556","Maassluis","Maassluis","AM22","Rhineestuary","AR08","Rotterdam","CR29","GreaterRhineEstuary","CS291","Rhineestuary","CP2910","Rhineestuary","GG4607","MunicipalHealthServiceRotterdam-Rijnmond","JZ29","Rhineestuary","KK45","Southwest","LB2802","Rotterdamandsurroundings","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES23","Rotterdam/TheHague","MC29","Rhineestuary","RA1020","TheHagueregionandNewWaterwayNorth","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR17","OtherNetherlands","VT18","Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond","ZK33","WestlandSchielandDelfland","4","20,000to50,000inhabitants","2","Stronglyurban","33567","2010"
"Maastricht","GM0935","Maastricht","Maastricht","AM30","SouthLimburg","AR09","Limburg","CR39","SouthLimburg","CS390","SouthLimburg","CP3900","SouthLimburg","GG6106","GGDSouthLimburg","JZ41","SouthLimburg","KK44","South","LB3102","SouthLimburg","LG14","SouthLimburg","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES30","SouthLimburg","MC39","SouthLimburgRegion","RA1428","SouthLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET3002","MaastrichtHillCountry","TR15","SouthLimburg","VT25","SouthLimburg","VR24","Limburg-South","ZK31","SouthLimburg","6","100,000to150,000inhabitants","1","Verystrongurban","120227","2520"
"Medemblik","GM0420","Medemblik","Medemblik","AM15","NorthHollandNorth","AR02","NorthHolland","CR18","HeadofNorthHolland","CS180","HeadofNorthHolland","CP1800","HeadofNorthHolland","GG2707","MunicipalHealthServiceHollands-Noorden","JZ05","WestFriesland","KK41","Northwest","LB2705","WestFrieslandandsurroundings","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC22","WestFriesland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1503","WestFriesland","TR03","IJsselmeercoast","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","4","20,000to50,000inhabitants","4","Notveryurban","45165","524"
"Meerssen","GM0938","Meerssen","Meerssen","AM30","SouthLimburg","AR09","Limburg","CR39","SouthLimburg","CS390","SouthLimburg","CP3900","SouthLimburg","GG6106","GGDSouthLimburg","JZ41","SouthLimburg","KK44","South","LB3102","SouthLimburg","LG14","SouthLimburg","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES30","SouthLimburg","MC39","SouthLimburgRegion","RA1428","SouthLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET3002","MaastrichtHillCountry","TR15","SouthLimburg","VT25","SouthLimburg","VR24","Limburg-South","ZK31","SouthLimburg","3","10,000to20,000inhabitants","4","Notveryurban","18661","616"
"Meierijstad","GM1948","Meierijstad","Meierijstad","AM27","NortheastBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS352","OtherNortheastNorthBrabant","CP3520","OtherNortheastNorthBrabant","GG5406","GGDHeartforBrabant","JZ33","NortheastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES27","NortheastBrabant","MC36","North-EastBrabant","RA1325","NortheastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2701","NortheastBrabant","TR13","WestandCentralBrabant","VT16","BrabantNortheast","VR21","NorthBrabant","ZK19","NortheastBrabant","5","50,000to100,000inhabitants","4","Notveryurban","81647","997"
"Meppel","GM0119","Meppel","Meppel","AM36","Zwolleregion","AR05","NorthernNetherlands","CR09","SouthwestDrenthe","CS090","SouthwestDrenthe","CP0900","SouthwestDrenthe","GG0706","MunicipalHealthServiceDrenthe","JZ04","Drenthe","KK42","North","LB2203","SouthwesternmeadowareainDrenthe","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV22","Drenthe","RE01","NorthernNetherlands","ES03","Drenthe","MC09","South-WestDrenthe","RA0102","Drenthe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0301","Drenthe","TR12","Groningen,FrisianandDrenthesandysoils","VT02","Drenthe","VR03","Drenthe","ZK06","Drenthe","4","20,000to50,000inhabitants","3","Moderatelyurban","34386","1287"
"Middelburg (Z.)","GM0687","Middelburg","Middelburg","AM24","Zealand","AR11","Zeeland-West-Brabant","CR32","OtherZeeland","CS320","OtherZeeland","CP3200","OtherZeeland","GG5006","GGDZeeland","JZ38","Zealand","KK45","Southwest","LB2902","WalcherenandSouthBeveland","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV29","Zealand","RE08","Zeeland-West-Brabant","ES24","Zealand","MC32","Walcheren","RA1222","Zealand","RT14","CourtofAppeal's-Hertogenbosch","ET2401","Zealand","TR04","Deltaarea","VT23","Zealand","VR19","Zealand","ZK27","Zealand","4","20,000to50,000inhabitants","2","Stronglyurban","48964","1751"
"Midden-Delfland","GM1842","Midden-Delfland","Midden+Delfland","AM21","TheHagueregion","AR07","TheHague","CR27","DelftandWestland","CS270","DelftandWestland","CP2700","DelftandWestland","GG7014","MunicipalHealthServiceTheHague","JZ24","TheHagueregion","KK45","Southwest","LB2809","WestlandandSouthHollandPolders","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES23","Rotterdam/TheHague","MC28","TheHague/Westland","RA1020","TheHagueregionandNewWaterwayNorth","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR17","OtherNetherlands","VT09","TheHagueregion","VR15","TheHagueregion","ZK33","WestlandSchielandDelfland","3","10,000to20,000inhabitants","3","Moderatelyurban","19414","1335"
"Central Drenthe","GM1731","CentralDrenthe","CentralDrenthe","AM03","Drenthe","AR05","NorthernNetherlands","CR07","NorthDrenthe","CS070","NorthDrenthe","CP0700","NorthDrenthe","GG0706","MunicipalHealthServiceDrenthe","JZ04","Drenthe","KK42","North","LB2202","SmildeandCentralSandyAreainDrenthe","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV22","Drenthe","RE01","NorthernNetherlands","ES03","Drenthe","MC07","NorthandCentralDrenthe","RA0102","Drenthe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0301","Drenthe","TR12","Groningen,FrisianandDrenthesandysoils","VT02","Drenthe","VR03","Drenthe","ZK06","Drenthe","4","20,000to50,000inhabitants","5","Non-urban","33381","401"
"Central Groningen","GM1952","CentralGroningen","Middle+Groningen","AM01","Groningen","AR05","NorthernNetherlands","CR03","OtherGroningen","CS030","OtherGroningen","CP0300","OtherGroningen","GG0111","GGDGroningen","JZ01","Groningen","KK42","North","LB2003","EasternConstructionRegioninGroningen","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV20","Groningen","RE01","NorthernNetherlands","ES01","Groningen","MC03","CentralandWesternGroningen","RA0101","Groningen","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0101","Groningen","TR05","LakesinGroningen,Friesland,NW-Overijssel","VT08","Groningen","VR01","Groningen","ZK09","Groningen","5","50,000to100,000inhabitants","4","Notveryurban","60726","856"
"Mill and Sint Hubert","GM0815","MillandSintHubert","MillandSintHubert","AM27","NortheastBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS352","OtherNortheastNorthBrabant","CP3520","OtherNortheastNorthBrabant","GG5406","GGDHeartforBrabant","JZ33","NortheastBrabant","KK44","South","LB3009","MaaskantandLandvanCuijk","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES27","NortheastBrabant","MC36","North-EastBrabant","RA1325","NortheastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2701","NortheastBrabant","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT16","BrabantNortheast","VR21","NorthBrabant","ZK19","NortheastBrabant","3","10,000to20,000inhabitants","5","Non-urban","11004","323"
"Moerdijk","GM1709","Moerdijk","Moerdijk","AM25","WestBrabant","AR11","Zeeland-West-Brabant","CR33","WestNorthBrabant","CS330","WestNorthBrabant","CP3300","WestNorthBrabant","GG5206","GGDWest-Brabant","JZ36","WestBrabantWest","KK44","South","LB3001","Northwestcorner","LG11","SouthwesternArableFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES28","WestBrabant","MC34","WestBrabant","RA1323","WestBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2801","WestBrabant","TR04","Deltaarea","VT21","WestBrabant","VR20","CentralandWestBrabant","ZK25","WestBrabant","4","20,000to50,000inhabitants","4","Notveryurban","37185","748"
"Milllands","GM1978","Milllands","Milllands","AM35","Gorinchem","AR08","Rotterdam","CR30","SoutheastSouthHolland","CS300","SoutheastSouthHolland","CP3002","OtherSoutheastSouthHolland","GG4816","Health&YouthServiceZHZ","JZ31","SouthHollandSouth","KK45","Southwest","LB2807","AlblasserwaardandVijfherenlanden","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES17","Alblasserwaard","MC30","SouthHolland-South","RA1121","SouthHollandSouth","RT13","TheHagueCourtofAppeal","ET1701","Alblasserwaard","TR17","OtherNetherlands","VT24","SouthHolland-South","VR18","SouthHolland-South","ZK24","Valuesland","4","20,000to50,000inhabitants","5","Non-urban","44130","393"
"Montferland","GM1955","Montferland","Montferland","AM09","Achterhoek","AR03","Gelderland","CR14","Achterhoek","CS140","Achterhoek","CP1400","Achterhoek","GG1413","GGDNorthandEastGelderland","JZ25","Achterhoek","KK43","East","LB2508","Achterhoek","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES07","Achterhoek","MC13","Achterhoek","RA0207","Achterhoek","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0701","Achterhoek","TR10","Achterhoek","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK04","Arnhem","4","20,000to50,000inhabitants","4","Notveryurban","36031","770"
"Montfoort","GM0335","Montfoort","Montfoort","AM13","CentralUtrecht","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1701","Utrecht-West","GG2514","GGDRegionUtrecht","JZ19","UtrechtWest","KK41","Northwest","LB2602","WesternPastureAreainUtrecht","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR17","OtherNetherlands","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","3","10,000to20,000inhabitants","4","Notveryurban","13896","751"
"Mook and Middelaar","GM0944","MookandMiddelaar","MookandMiddelaar","AM08","KingdomofNijmegen","AR09","Limburg","CR37","NorthLimburg","CS370","NorthLimburg","CP3700","NorthLimburg","GG6011","GGDLimburg-Noord","JZ32","KingdomofNijmegen","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC40","KingdomofNijmegen","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT06","Gelderland-South","VR23","Limburg-North","ZK16","Nijmegen","2","5,000to10,000inhabitants","5","Non-urban","7909","433"
"Lower Betuwe","GM1740","LowerBetuwe","Neder+Betuwe","AM10","Riverland","AR03","Gelderland","CR16","SouthwestGelderland","CS160","SouthwestGelderland","CP1600","SouthwestGelderland","GG2014","MunicipalHealthServiceGelderland-South","JZ30","Riverland","KK43","East","LB2505","VeluwezoomandBetuwe","LG10","Riverarea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES11","FruitDeltaRivierenland","MC15","Riverland","RA0308","South-WestGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1101","FruitDeltaRivierenland","TR09","GelderlandRiverArea","VT06","Gelderland-South","VR08","Gelderland-South","ZK16","Nijmegen","4","20,000to50,000inhabitants","5","Non-urban","24648","443"
"Nederweert","GM0946","Nederweert","Nederweert","AM33","CentralLimburg","AR09","Limburg","CR38","CentralLimburg","CS380","CentralLimburg","CP3800","CentralLimburg","GG6011","GGDLimburg-Noord","JZ43","CentralLimburgWest","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC38","Limburg-NorthRegion","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT13","NorthandCentralLimburg","VR23","Limburg-North","ZK17","NorthandCentralLimburg","3","10,000to20,000inhabitants","4","Notveryurban","17171","646"
"Newgein","GM0356","Newgein","Newgein","AM13","CentralUtrecht","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1703","UtrechtMetropolitanArea","GG2514","GGDRegionUtrecht","JZ26","Leakagecurrent","KK41","Northwest","LB2602","WesternPastureAreainUtrecht","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR17","OtherNetherlands","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","5","50,000to100,000inhabitants","2","Stronglyurban","63866","1926"
"Newkoop","GM0569","Newkoop","Newkoop","AM19","HollandRhineland","AR07","TheHague","CR28","EastSouthHolland","CS280","EastSouthHolland","CP2800","EastSouthHolland","GG4506","MunicipalHealthServiceHollands-Midden","JZ18","HollandRhineland","KK45","Southwest","LB2804","WesternRhineland","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES21","HollandRhineland","MC27","SouthHollandEast","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2101","HollandRhineland","TR06","Dutch-Utrechtlakes","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK28","SouthHollandNorth","4","20,000to50,000inhabitants","4","Notveryurban","29151","505"
